Name	DiseaseName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
parkinson's	parkinson Disease	21718702	3	17	15	11
parkinson's disease	parkinson Disease	21718702	3	17	15	12
parkinson's disease	parkinson Disease	21718702	3	17	15	15
parkinson disease	parkinson Disease	21716022	4	18	4	8
parkinson disease	parkinson Disease	21716022	4	18	4	10
parkinson	parkinson Disease	21716022	4	18	4	20
parkinson's	parkinson Disease	21715213	2	9	3	11
parkinson's disease	parkinson Disease	21715213	2	9	3	12
parkinson's disease	parkinson Disease	21715213	2	9	3	15
parkinson's	parkinson Disease	21715213	3	19	10	11
parkinson's disease	parkinson Disease	21715213	3	19	10	12
parkinson's disease	parkinson Disease	21715213	3	19	10	15
parkinson's	parkinson Disease	21715166	2	14	13	11
parkinson's disease	parkinson Disease	21715166	2	14	13	12
parkinson's disease	parkinson Disease	21715166	2	14	13	15
parkinson's	parkinson Disease	21715166	3	12	6	11
parkinson's disease	parkinson Disease	21715166	3	12	6	12
parkinson's disease	parkinson Disease	21715166	3	12	6	15
parkinson's	parkinson Disease	21715166	6	16	8	11
parkinson's disease	parkinson Disease	21715166	6	16	8	12
parkinson's disease	parkinson Disease	21715166	6	16	8	15
parkinson's	parkinson Disease	21714071	2	6	5	11
parkinson's disease	parkinson Disease	21714071	2	6	5	12
parkinson's disease	parkinson Disease	21714071	2	6	5	15
parkinson's	parkinson Disease	21714071	3	12	10	11
parkinson's disease	parkinson Disease	21714071	3	12	10	12
parkinson's disease	parkinson Disease	21714071	3	12	10	15
parkinson's	parkinson Disease	21714009	2	15	10	11
parkinson's	parkinson Disease	21714009	3	32	14	11
parkinson's disease	parkinson Disease	21714009	3	32	14	12
parkinson's disease	parkinson Disease	21714009	3	32	14	15
parkinson's	parkinson Disease	21714009	4	22	19	11
parkinson's	parkinson Disease	21714009	5	12	6	11
parkinson's disease	parkinson Disease	21714009	5	12	6	12
parkinson's disease	parkinson Disease	21714009	5	12	6	15
parkinson's	parkinson Disease	21714009	7	28	6	11
parkinson's disease	parkinson Disease	21714009	7	28	6	12
parkinson's disease	parkinson Disease	21714009	7	28	6	15
parkinson's	parkinson Disease	21714009	8	21	4	11
parkinson's	parkinson Disease	21714009	9	18	3	11
parkinson's disease	parkinson Disease	21714009	9	18	3	12
parkinson's disease	parkinson Disease	21714009	9	18	3	15
parkinson's	parkinson Disease	21714003	2	8	7	11
parkinson's disease	parkinson Disease	21714003	2	8	7	12
parkinson's disease	parkinson Disease	21714003	2	8	7	15
parkinson's	parkinson Disease	21712955	4	18	16	11
parkinson's disease	parkinson Disease	21712955	4	18	16	12
parkinson's disease	parkinson Disease	21712955	4	18	16	15
parkinson's	parkinson Disease	21712955	13	33	18	11
parkinson's disease	parkinson Disease	21712955	13	33	18	12
parkinson's disease	parkinson Disease	21712955	13	33	18	15
parkinson's	parkinson Disease	21712347	2	13	12	11
parkinson's disease	parkinson Disease	21712347	2	13	12	12
parkinson's disease	parkinson Disease	21712347	2	13	12	15
parkinson's	parkinson Disease	21712347	3	21	20	11
parkinson's disease	parkinson Disease	21712347	3	21	20	12
parkinson's disease	parkinson Disease	21712347	3	21	20	15
parkinson's	parkinson Disease	21712347	8	21	20	11
parkinson's disease	parkinson Disease	21712347	8	21	20	12
parkinson's disease	parkinson Disease	21712347	8	21	20	15
parkinson's	parkinson Disease	21712347	10	32	31	11
parkinson's disease	parkinson Disease	21712347	10	32	31	12
parkinson's disease	parkinson Disease	21712347	10	32	31	15
parkinson's	parkinson Disease	21712347	11	58	23	11
parkinson's	parkinson Disease	21709601	2	20	19	11
parkinson's disease	parkinson Disease	21709601	2	20	19	12
parkinson's disease	parkinson Disease	21709601	2	20	19	15
parkinson's	parkinson Disease	21709601	3	11	9	11
parkinson's disease	parkinson Disease	21709601	3	11	9	12
parkinson's disease	parkinson Disease	21709601	3	11	9	15
parkinson disease	parkinson Disease	21709594	5	25	24	8
parkinson disease	parkinson Disease	21709594	5	25	24	10
parkinson	parkinson Disease	21709594	5	25	24	20
parkinson disease	parkinson Disease	21709594	6	11	5	8
parkinson disease	parkinson Disease	21709594	6	11	5	10
parkinson	parkinson Disease	21709594	6	11	5	20
parkinson disease	parkinson Disease	21709594	13	21	20	8
parkinson disease	parkinson Disease	21709594	13	21	20	10
parkinson	parkinson Disease	21709594	13	21	20	20
parkinson disease	parkinson Disease	21709584	6	29	18	8
parkinson disease	parkinson Disease	21709584	6	29	18	10
parkinson	parkinson Disease	21709584	6	29	18	20
parkinson's	parkinson Disease	21708898	2	10	9	11
parkinson's disease	parkinson Disease	21708898	2	10	9	12
parkinson's disease	parkinson Disease	21708898	2	10	9	15
parkinson disease	parkinson Disease	21708388	2	10	9	8
parkinson disease	parkinson Disease	21708388	2	10	9	10
parkinson	parkinson Disease	21708388	2	10	9	20
parkinson disease	parkinson Disease	21708388	3	19	7	8
parkinson disease	parkinson Disease	21708388	3	19	7	10
parkinson	parkinson Disease	21708388	3	19	7	20
parkinson's	parkinson Disease	21708261	3	15	10	11
parkinson's disease	parkinson Disease	21708261	3	15	10	12
parkinson's disease	parkinson Disease	21708261	3	15	10	15
parkinson's	parkinson Disease	21707858	2	10	9	11
parkinson's disease	parkinson Disease	21707858	2	10	9	12
parkinson's disease	parkinson Disease	21707858	2	10	9	15
parkinson's	parkinson Disease	21707858	4	27	11	11
parkinson's disease	parkinson Disease	21707858	4	27	11	12
parkinson's disease	parkinson Disease	21707858	4	27	11	15
parkinson's	parkinson Disease	21707858	7	24	12	11
parkinson's disease	parkinson Disease	21707858	7	24	12	12
parkinson's disease	parkinson Disease	21707858	7	24	12	15
parkinson's	parkinson Disease	21706828	2	17	14	11
parkinson's disease	parkinson Disease	21706828	2	17	14	12
parkinson's disease	parkinson Disease	21706828	2	17	14	15
parkinson's	parkinson Disease	21706828	3	9	3	11
parkinson's disease	parkinson Disease	21706828	3	9	3	12
parkinson's disease	parkinson Disease	21706828	3	9	3	15
parkinson's	parkinson Disease	21706376	2	17	12	11
parkinson's disease	parkinson Disease	21706376	2	17	12	12
parkinson's disease	parkinson Disease	21706376	2	17	12	15
parkinson's	parkinson Disease	21706376	3	22	20	11
parkinson's disease	parkinson Disease	21706376	3	22	20	12
parkinson's disease	parkinson Disease	21706376	3	22	20	15
parkinson's	parkinson Disease	21705259	2	12	8	11
parkinson's	parkinson Disease	21705259	3	11	8	11
parkinson's disease	parkinson Disease	21705259	3	11	8	12
parkinson's disease	parkinson Disease	21705259	3	11	8	15
parkinson's	parkinson Disease	21705162	2	13	9	11
parkinson's	parkinson Disease	21705162	3	19	9	11
parkinson's disease	parkinson Disease	21705162	3	19	9	12
parkinson's disease	parkinson Disease	21705162	3	19	9	15
parkinson's	parkinson Disease	21705027	2	13	7	11
parkinson's	parkinson Disease	21705027	3	26	14	11
parkinson's disease	parkinson Disease	21705027	3	26	14	12
parkinson's disease	parkinson Disease	21705027	3	26	14	15
parkinson's	parkinson Disease	21705023	2	9	8	11
parkinson's disease	parkinson Disease	21705023	2	9	8	12
parkinson's disease	parkinson Disease	21705023	2	9	8	15
parkinson's	parkinson Disease	21705023	3	25	1	11
parkinson's disease	parkinson Disease	21705023	3	25	1	12
parkinson's disease	parkinson Disease	21705023	3	25	1	15
parkinson's	parkinson Disease	21705022	2	10	9	11
parkinson's disease	parkinson Disease	21705022	2	10	9	12
parkinson's disease	parkinson Disease	21705022	2	10	9	15
parkinson's	parkinson Disease	21705022	3	34	10	11
parkinson's disease	parkinson Disease	21705022	3	34	10	12
parkinson's disease	parkinson Disease	21705022	3	34	10	15
parkinson's	parkinson Disease	21705020	2	6	5	11
parkinson's disease	parkinson Disease	21705020	2	6	5	12
parkinson's disease	parkinson Disease	21705020	2	6	5	15
parkinson's	parkinson Disease	21705020	11	15	13	11
parkinson's disease	parkinson Disease	21705020	11	15	13	12
parkinson's disease	parkinson Disease	21705020	11	15	13	15
parkinson's	parkinson Disease	21704798	2	11	10	11
parkinson's disease	parkinson Disease	21704798	2	11	10	12
parkinson's disease	parkinson Disease	21704798	2	11	10	15
parkinson's	parkinson Disease	21704798	3	40	17	11
parkinson's disease	parkinson Disease	21704798	3	40	17	12
parkinson's disease	parkinson Disease	21704798	3	40	17	15
parkinson's	parkinson Disease	21704798	11	25	9	11
parkinson's disease	parkinson Disease	21704798	11	25	9	12
parkinson's disease	parkinson Disease	21704798	11	25	9	15
parkinson's	parkinson Disease	21704797	2	15	14	11
parkinson's disease	parkinson Disease	21704797	2	15	14	12
parkinson's disease	parkinson Disease	21704797	2	15	14	15
parkinson's	parkinson Disease	21704797	3	35	16	11
parkinson's disease	parkinson Disease	21704797	3	35	16	12
parkinson's disease	parkinson Disease	21704797	3	35	16	15
parkinson	parkinson Disease	21704797	5	6	2	20
parkinson's	parkinson Disease	21704797	9	41	23	11
parkinson's disease	parkinson Disease	21704797	9	41	23	12
parkinson's disease	parkinson Disease	21704797	9	41	23	15
parkinson's	parkinson Disease	21704673	3	30	8	11
parkinson's disease	parkinson Disease	21704673	3	30	8	12
parkinson's disease	parkinson Disease	21704673	3	30	8	15
parkinson's	parkinson Disease	21704337	2	18	6	11
parkinson's	parkinson Disease	21704337	3	16	1	11
parkinson's disease	parkinson Disease	21704337	3	16	1	12
parkinson's disease	parkinson Disease	21704337	3	16	1	15
parkinson's	parkinson Disease	21704161	2	25	24	11
parkinson's disease	parkinson Disease	21704161	2	25	24	12
parkinson's disease	parkinson Disease	21704161	2	25	24	15
parkinson's	parkinson Disease	21704161	3	42	23	11
parkinson's disease	parkinson Disease	21704161	3	42	23	12
parkinson's disease	parkinson Disease	21704161	3	42	23	15
parkinson's	parkinson Disease	21704125	2	17	4	11
parkinson's	parkinson Disease	21704125	3	28	11	11
parkinson's disease	parkinson Disease	21704125	3	28	11	12
parkinson's disease	parkinson Disease	21704125	3	28	11	15
parkinson's	parkinson Disease	21703827	2	15	14	11
parkinson's disease	parkinson Disease	21703827	2	15	14	12
parkinson's disease	parkinson Disease	21703827	2	15	14	15
parkinson's	parkinson Disease	21703827	3	37	27	11
parkinson's disease	parkinson Disease	21703827	3	37	27	12
parkinson's disease	parkinson Disease	21703827	3	37	27	15
parkinson	parkinson Disease	21703827	3	37	36	20
parkinson's	parkinson Disease	21703262	3	14	8	11
parkinson's disease	parkinson Disease	21703262	3	14	8	12
parkinson's disease	parkinson Disease	21703262	3	14	8	15
parkinson disease	parkinson Disease	21701815	2	20	13	8
parkinson disease	parkinson Disease	21701815	2	20	13	10
parkinson	parkinson Disease	21701815	2	20	13	20
parkinson disease	parkinson Disease	21701815	4	16	15	8
parkinson disease	parkinson Disease	21701815	4	16	15	10
parkinson	parkinson Disease	21701815	4	16	15	20
parkinson's	parkinson Disease	21701785	2	17	8	11
parkinson's disease	parkinson Disease	21701785	2	17	8	12
parkinson's disease	parkinson Disease	21701785	2	17	8	15
parkinson's	parkinson Disease	21701785	3	23	21	11
parkinson's disease	parkinson Disease	21701785	3	23	21	12
parkinson's disease	parkinson Disease	21701785	3	23	21	15
parkinson's	parkinson Disease	21700495	2	14	12	11
parkinson's disease	parkinson Disease	21700495	2	14	12	12
parkinson's disease	parkinson Disease	21700495	2	14	12	15
parkinson's	parkinson Disease	21700495	3	20	18	11
parkinson's disease	parkinson Disease	21700495	3	20	18	12
parkinson's disease	parkinson Disease	21700495	3	20	18	15
parkinson's	parkinson Disease	21699982	2	13	12	11
parkinson's disease	parkinson Disease	21699982	2	13	12	12
parkinson's disease	parkinson Disease	21699982	2	13	12	15
parkinson's	parkinson Disease	21699982	3	18	17	11
parkinson's disease	parkinson Disease	21699982	3	18	17	12
parkinson's disease	parkinson Disease	21699982	3	18	17	15
parkinson's	parkinson Disease	21699711	4	31	15	11
parkinson's disease	parkinson Disease	21699711	4	31	15	12
parkinson's disease	parkinson Disease	21699711	4	31	15	15
parkinson's	parkinson Disease	21699711	6	20	19	11
parkinson's disease	parkinson Disease	21699711	6	20	19	12
parkinson's disease	parkinson Disease	21699711	6	20	19	15
parkinson's	parkinson Disease	21699627	2	14	13	11
parkinson's disease	parkinson Disease	21699627	2	14	13	12
parkinson's disease	parkinson Disease	21699627	2	14	13	15
parkinson's	parkinson Disease	21699627	3	33	17	11
parkinson's disease	parkinson Disease	21699627	3	33	17	12
parkinson's disease	parkinson Disease	21699627	3	33	17	15
parkinson's	parkinson Disease	21699489	2	13	12	11
parkinson's disease	parkinson Disease	21699489	2	13	12	12
parkinson's disease	parkinson Disease	21699489	2	13	12	15
parkinson's	parkinson Disease	21699489	7	29	23	11
parkinson's disease	parkinson Disease	21699489	7	29	23	12
parkinson's disease	parkinson Disease	21699489	7	29	23	15
parkinson	parkinson Disease	21699482	3	28	19	20
parkinson's	parkinson Disease	21698001	3	10	1	11
parkinson's disease	parkinson Disease	21698001	3	10	1	12
parkinson's disease	parkinson Disease	21698001	3	10	1	15
parkinson disease	parkinson Disease	21697709	2	11	10	8
parkinson disease	parkinson Disease	21697709	2	11	10	10
parkinson	parkinson Disease	21697709	2	11	10	20
parkinson disease	parkinson Disease	21697709	3	20	16	8
parkinson disease	parkinson Disease	21697709	3	20	16	10
parkinson	parkinson Disease	21697709	3	20	16	20
parkinson's	parkinson Disease	21696777	2	5	4	11
parkinson's disease	parkinson Disease	21696777	2	5	4	12
parkinson's disease	parkinson Disease	21696777	2	5	4	15
parkinson's	parkinson Disease	21696777	3	22	9	11
parkinson's disease	parkinson Disease	21696777	3	22	9	12
parkinson's disease	parkinson Disease	21696777	3	22	9	15
parkinson's	parkinson Disease	21696416	2	17	16	11
parkinson's disease	parkinson Disease	21696416	2	17	16	12
parkinson's disease	parkinson Disease	21696416	2	17	16	15
parkinson's	parkinson Disease	21696416	3	30	14	11
parkinson's disease	parkinson Disease	21696416	3	30	14	12
parkinson's disease	parkinson Disease	21696416	3	30	14	15
parkinson's	parkinson Disease	21696411	2	15	8	11
parkinson's disease	parkinson Disease	21696411	2	15	8	12
parkinson's disease	parkinson Disease	21696411	2	15	8	15
parkinson's	parkinson Disease	21696411	3	21	19	11
parkinson's disease	parkinson Disease	21696411	3	21	19	12
parkinson's disease	parkinson Disease	21696411	3	21	19	15
parkinson's	parkinson Disease	21696087	2	12	11	11
parkinson's disease	parkinson Disease	21696087	2	12	11	12
parkinson's disease	parkinson Disease	21696087	2	12	11	15
parkinson	parkinson Disease	21696087	3	17	7	20
parkinson's	parkinson Disease	21696087	16	10	7	11
parkinson's disease	parkinson Disease	21696087	16	10	7	12
parkinson's disease	parkinson Disease	21696087	16	10	7	15
parkinson	parkinson Disease	21695419	2	12	8	20
parkinson disease	parkinson Disease	21695419	3	14	12	8
parkinson disease	parkinson Disease	21695419	3	14	12	10
parkinson	parkinson Disease	21695419	3	14	12	20
parkinson's	parkinson Disease	21694720	3	20	19	11
parkinson's disease	parkinson Disease	21694720	3	20	19	12
parkinson's disease	parkinson Disease	21694720	3	20	19	15
parkinson's	parkinson Disease	21694720	9	21	12	11
parkinson's	parkinson Disease	21693708	3	27	15	11
parkinson's	parkinson Disease	21693708	10	44	43	11
parkinson's disease	parkinson Disease	21693708	10	44	43	12
parkinson's disease	parkinson Disease	21693708	10	44	43	15
parkinson's	parkinson Disease	21693556	10	25	14	11
parkinson's disease	parkinson Disease	21693556	10	25	14	12
parkinson's disease	parkinson Disease	21693556	10	25	14	15
parkinson's	parkinson Disease	21693148	2	13	1	11
parkinson's	parkinson Disease	21693148	3	25	24	11
parkinson's disease	parkinson Disease	21693148	3	25	24	12
parkinson's disease	parkinson Disease	21693148	3	25	24	15
parkinson's	parkinson Disease	21693148	9	16	5	11
parkinson's	parkinson Disease	21693148	10	12	3	11
parkinson's	parkinson Disease	21693148	12	14	13	11
parkinson's disease	parkinson Disease	21693148	12	14	13	12
parkinson's disease	parkinson Disease	21693148	12	14	13	15
parkinson's	parkinson Disease	21693054	2	11	10	11
parkinson's disease	parkinson Disease	21693054	2	11	10	12
parkinson's disease	parkinson Disease	21693054	2	11	10	15
parkinson's	parkinson Disease	21693054	3	17	3	11
parkinson's disease	parkinson Disease	21693054	3	17	3	12
parkinson's disease	parkinson Disease	21693054	3	17	3	15
parkinson's	parkinson Disease	21693054	13	39	21	11
parkinson's disease	parkinson Disease	21693054	13	39	21	12
parkinson's disease	parkinson Disease	21693054	13	39	21	15
parkinson	parkinson Disease	21692754	2	10	7	20
parkinson	parkinson Disease	21692754	4	10	7	20
parkinson's	parkinson Disease	21692754	7	17	11	11
parkinson's disease	parkinson Disease	21692754	7	17	11	12
parkinson's disease	parkinson Disease	21692754	7	17	11	15
parkinson's	parkinson Disease	21692648	2	14	13	11
parkinson's disease	parkinson Disease	21692648	2	14	13	12
parkinson's disease	parkinson Disease	21692648	2	14	13	15
parkinson's	parkinson Disease	21692648	3	22	20	11
parkinson's disease	parkinson Disease	21692648	3	22	20	12
parkinson's disease	parkinson Disease	21692648	3	22	20	15
parkinson's	parkinson Disease	21692295	2	22	21	11
parkinson's	parkinson Disease	21692295	3	15	13	11
parkinson's disease	parkinson Disease	21692295	3	15	13	12
parkinson's disease	parkinson Disease	21692295	3	15	13	15
parkinson	parkinson Disease	21691332	2	5	1	20
parkinson's	parkinson Disease	21691241	2	15	11	11
parkinson's disease	parkinson Disease	21691241	2	15	11	12
parkinson's disease	parkinson Disease	21691241	2	15	11	15
parkinson's	parkinson Disease	21691241	3	30	1	11
parkinson's disease	parkinson Disease	21691241	3	30	1	12
parkinson's disease	parkinson Disease	21691241	3	30	1	15
parkinson's	parkinson Disease	21691241	6	36	18	11
parkinson's disease	parkinson Disease	21691241	6	36	18	12
parkinson's disease	parkinson Disease	21691241	6	36	18	15
parkinson's	parkinson Disease	21691241	7	103	66	11
parkinson's disease	parkinson Disease	21691241	7	103	66	12
parkinson's disease	parkinson Disease	21691241	7	103	66	15
parkinson's	parkinson Disease	21690031	2	10	5	11
parkinson's disease	parkinson Disease	21690031	2	10	5	12
parkinson's disease	parkinson Disease	21690031	2	10	5	15
parkinson's	parkinson Disease	21690031	3	11	5	11
parkinson's disease	parkinson Disease	21690031	3	11	5	12
parkinson's disease	parkinson Disease	21690031	3	11	5	15
parkinson's	parkinson Disease	21690031	7	31	23	11
parkinson's disease	parkinson Disease	21690031	7	31	23	12
parkinson's disease	parkinson Disease	21690031	7	31	23	15
parkinson's	parkinson Disease	21690031	9	34	18	11
parkinson's	parkinson Disease	21690031	11	24	23	11
parkinson's disease	parkinson Disease	21690031	11	24	23	12
parkinson's disease	parkinson Disease	21690031	11	24	23	15
parkinson's	parkinson Disease	21689963	2	8	7	11
parkinson's disease	parkinson Disease	21689963	2	8	7	12
parkinson's disease	parkinson Disease	21689963	2	8	7	15
parkinson's	parkinson Disease	21689963	3	18	1	11
parkinson's disease	parkinson Disease	21689963	3	18	1	12
parkinson's disease	parkinson Disease	21689963	3	18	1	15
parkinson's	parkinson Disease	21689962	2	14	10	11
parkinson's disease	parkinson Disease	21689962	2	14	10	12
parkinson's disease	parkinson Disease	21689962	2	14	10	15
parkinson disease	parkinson Disease	21689962	3	20	4	8
parkinson disease	parkinson Disease	21689962	3	20	4	10
parkinson	parkinson Disease	21689962	3	20	4	20
parkinson's	parkinson Disease	21689962	5	26	16	11
parkinson's disease	parkinson Disease	21689962	5	26	16	12
parkinson's disease	parkinson Disease	21689962	5	26	16	15
parkinson's	parkinson Disease	21689832	2	14	6	11
parkinson's disease	parkinson Disease	21689832	2	14	6	12
parkinson's disease	parkinson Disease	21689832	2	14	6	15
parkinson's	parkinson Disease	21689832	3	38	36	11
parkinson's disease	parkinson Disease	21689832	3	38	36	12
parkinson's disease	parkinson Disease	21689832	3	38	36	15
parkinson's	parkinson Disease	21689829	2	11	6	11
parkinson's	parkinson Disease	21689829	4	44	19	11
parkinson's disease	parkinson Disease	21689829	4	44	19	12
parkinson's disease	parkinson Disease	21689829	4	44	19	15
parkinson's	parkinson Disease	21689676	2	16	9	11
parkinson's disease	parkinson Disease	21689676	2	16	9	12
parkinson's disease	parkinson Disease	21689676	2	16	9	15
parkinson's	parkinson Disease	21689676	9	39	2	11
parkinson's disease	parkinson Disease	21689676	9	39	2	12
parkinson's disease	parkinson Disease	21689676	9	39	2	15
parkinson's	parkinson Disease	21689433	2	10	9	11
parkinson's disease	parkinson Disease	21689433	2	10	9	12
parkinson's disease	parkinson Disease	21689433	2	10	9	15
parkinson's	parkinson Disease	21689433	3	21	1	11
parkinson's disease	parkinson Disease	21689433	3	21	1	12
parkinson's disease	parkinson Disease	21689433	3	21	1	15
parkinson's	parkinson Disease	21689433	9	20	17	11
parkinson's	parkinson Disease	21689433	10	32	10	11
parkinson's disease	parkinson Disease	21689433	10	32	10	12
parkinson's disease	parkinson Disease	21689433	10	32	10	15
parkinson's	parkinson Disease	21687764	2	11	10	11
parkinson's disease	parkinson Disease	21687764	2	11	10	12
parkinson's disease	parkinson Disease	21687764	2	11	10	15
parkinson's	parkinson Disease	21687764	3	22	20	11
parkinson's disease	parkinson Disease	21687764	3	22	20	12
parkinson's disease	parkinson Disease	21687764	3	22	20	15
parkinson disease	parkinson Disease	21687764	7	31	9	8
parkinson disease	parkinson Disease	21687764	7	31	9	10
parkinson	parkinson Disease	21687764	7	31	9	20
parkinson's	parkinson Disease	21687757	2	15	14	11
parkinson's disease	parkinson Disease	21687757	2	15	14	12
parkinson's disease	parkinson Disease	21687757	2	15	14	15
parkinson's	parkinson Disease	21687757	3	19	9	11
parkinson's disease	parkinson Disease	21687757	3	19	9	12
parkinson's disease	parkinson Disease	21687757	3	19	9	15
parkinson	parkinson Disease	21687757	5	32	7	20
parkinson	parkinson Disease	21686180	4	19	12	20
parkinson	parkinson Disease	21686180	7	39	30	20
parkinson disease	parkinson Disease	21685825	6	21	13	8
parkinson disease	parkinson Disease	21685825	6	21	13	10
parkinson	parkinson Disease	21685825	6	21	13	20
parkinson disease	parkinson Disease	21685805	2	11	10	8
parkinson disease	parkinson Disease	21685805	2	11	10	10
parkinson	parkinson Disease	21685805	2	11	10	20
parkinson disease	parkinson Disease	21685805	4	17	15	8
parkinson disease	parkinson Disease	21685805	4	17	15	10
parkinson	parkinson Disease	21685805	4	17	15	20
parkinson's	parkinson Disease	21685323	2	17	16	11
parkinson's disease	parkinson Disease	21685323	2	17	16	12
parkinson's disease	parkinson Disease	21685323	2	17	16	15
parkinson's	parkinson Disease	21685323	3	24	23	11
parkinson's disease	parkinson Disease	21685323	3	24	23	12
parkinson's disease	parkinson Disease	21685323	3	24	23	15
parkinson's	parkinson Disease	21685323	9	31	25	11
parkinson's disease	parkinson Disease	21685323	9	31	25	12
parkinson's disease	parkinson Disease	21685323	9	31	25	15
parkinson	parkinson Disease	21684679	2	13	9	20
parkinson disease	parkinson Disease	21684679	3	14	1	8
parkinson disease	parkinson Disease	21684679	3	14	1	10
parkinson	parkinson Disease	21684679	3	14	1	20
parkinson's	parkinson Disease	21684552	2	13	8	11
parkinson's	parkinson Disease	21684552	3	27	12	11
parkinson's disease	parkinson Disease	21684552	3	27	12	12
parkinson's disease	parkinson Disease	21684552	3	27	12	15
parkinson disease	parkinson Disease	21684335	2	7	2	8
parkinson disease	parkinson Disease	21684335	2	7	2	10
parkinson	parkinson Disease	21684335	2	7	2	20
parkinson's	parkinson Disease	21684335	3	30	24	11
parkinson's disease	parkinson Disease	21684335	3	30	24	12
parkinson's disease	parkinson Disease	21684335	3	30	24	15
parkinson's	parkinson Disease	21684266	10	31	30	11
parkinson's disease	parkinson Disease	21684266	10	31	30	12
parkinson's disease	parkinson Disease	21684266	10	31	30	15
parkinson's	parkinson Disease	21683964	2	8	3	11
parkinson's	parkinson Disease	21683964	4	46	12	11
parkinson's disease	parkinson Disease	21683964	4	46	12	12
parkinson's disease	parkinson Disease	21683964	4	46	12	15
parkinson disease	parkinson Disease	21683963	2	11	6	8
parkinson disease	parkinson Disease	21683963	2	11	6	10
parkinson	parkinson Disease	21683963	2	11	6	20
parkinson disease	parkinson Disease	21683963	3	19	1	8
parkinson disease	parkinson Disease	21683963	3	19	1	10
parkinson	parkinson Disease	21683963	3	19	1	20
parkinson's	parkinson Disease	21683700	2	17	16	11
parkinson's disease	parkinson Disease	21683700	2	17	16	12
parkinson's disease	parkinson Disease	21683700	2	17	16	15
parkinson's	parkinson Disease	21683700	3	19	17	11
parkinson's disease	parkinson Disease	21683700	3	19	17	12
parkinson's disease	parkinson Disease	21683700	3	19	17	15
parkinson's	parkinson Disease	21683375	2	11	6	11
parkinson's	parkinson Disease	21683375	3	27	13	11
parkinson's disease	parkinson Disease	21683375	3	27	13	12
parkinson's disease	parkinson Disease	21683375	3	27	13	15
parkinson's	parkinson Disease	21683120	2	11	10	11
parkinson's disease	parkinson Disease	21683120	2	11	10	12
parkinson's disease	parkinson Disease	21683120	2	11	10	15
parkinson's	parkinson Disease	21683120	3	8	1	11
parkinson's disease	parkinson Disease	21683120	3	8	1	12
parkinson's disease	parkinson Disease	21683120	3	8	1	15
parkinson disease	parkinson Disease	21682904	3	10	5	8
parkinson disease	parkinson Disease	21682904	3	10	5	10
parkinson	parkinson Disease	21682904	3	10	5	20
parkinson's	parkinson Disease	21682352	2	14	7	11
idiopathic parkinson's disease	parkinson Disease	21682352	3	37	16	1
idiopathic parkinson's disease	parkinson Disease	21682352	3	37	16	2
parkinson's	parkinson Disease	21682352	3	37	17	11
parkinson's disease	parkinson Disease	21682352	3	37	17	12
parkinson's disease	parkinson Disease	21682352	3	37	17	15
parkinson disease	parkinson Disease	21681795	2	7	6	8
parkinson disease	parkinson Disease	21681795	2	7	6	10
parkinson	parkinson Disease	21681795	2	7	6	20
parkinson disease	parkinson Disease	21681795	3	53	13	8
parkinson disease	parkinson Disease	21681795	3	53	13	10
parkinson	parkinson Disease	21681795	3	53	13	20
parkinson's	parkinson Disease	21679972	2	9	8	11
parkinson's disease	parkinson Disease	21679972	2	9	8	12
parkinson's disease	parkinson Disease	21679972	2	9	8	15
parkinson's	parkinson Disease	21679972	3	24	22	11
parkinson's disease	parkinson Disease	21679972	3	24	22	12
parkinson's disease	parkinson Disease	21679972	3	24	22	15
parkinson's	parkinson Disease	21679126	2	9	2	11
parkinson's	parkinson Disease	21679126	3	20	19	11
parkinson's disease	parkinson Disease	21679126	3	20	19	12
parkinson's disease	parkinson Disease	21679126	3	20	19	15
parkinson's	parkinson Disease	21679126	7	25	24	11
parkinson's disease	parkinson Disease	21679126	7	25	24	12
parkinson's disease	parkinson Disease	21679126	7	25	24	15
parkinson's	parkinson Disease	21679108	2	8	3	11
parkinson disease	parkinson Disease	21677446	2	15	4	8
parkinson disease	parkinson Disease	21677446	2	15	4	10
parkinson	parkinson Disease	21677446	2	15	4	20
parkinson disease	parkinson Disease	21677446	3	16	14	8
parkinson disease	parkinson Disease	21677446	3	16	14	10
parkinson	parkinson Disease	21677446	3	16	14	20
parkinson's	parkinson Disease	21677249	2	20	8	11
parkinson's disease	parkinson Disease	21677249	2	20	8	12
parkinson's disease	parkinson Disease	21677249	2	20	8	15
parkinson's	parkinson Disease	21677223	2	5	2	11
parkinson's	parkinson Disease	21676990	2	11	6	11
parkinson's	parkinson Disease	21676990	3	17	8	11
parkinson's	parkinson Disease	21676990	5	35	9	11
parkinson's disease	parkinson Disease	21676990	5	35	9	12
parkinson's disease	parkinson Disease	21676990	5	35	9	15
parkinson's	parkinson Disease	21676990	8	18	11	11
parkinson's disease	parkinson Disease	21676990	8	18	11	12
parkinson's disease	parkinson Disease	21676990	8	18	11	15
parkinson's	parkinson Disease	21676990	12	25	22	11
parkinson's disease	parkinson Disease	21676990	12	25	22	12
parkinson's disease	parkinson Disease	21676990	12	25	22	15
parkinson's	parkinson Disease	21676990	14	14	13	11
parkinson's disease	parkinson Disease	21676990	14	14	13	12
parkinson's disease	parkinson Disease	21676990	14	14	13	15
